Group_1,Group_2,Metric,EER
Mid-Correct Bonafide,Mid-Wrong Bonafide,rmse_mean,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,rmse_amplitude,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,duration_s,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,speech_length_s,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,leading_silence_s,0.2
Mid-Correct Bonafide,Mid-Wrong Spoof,trailing_silence_s,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,voiced_frames,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,unvoiced_frames,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,rms_first_100ms,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,rmse_mean,0.4
Mid-Correct Bonafide,Mid-Wrong Spoof,rmse_amplitude,0.4
Mid-Correct Bonafide,Worst-Scored Spoof,duration_s,0.19375
Mid-Correct Bonafide,Worst-Scored Spoof,speech_length_s,0.19375
Mid-Correct Bonafide,Worst-Scored Spoof,leading_silence_s,0.35625
Mid-Correct Bonafide,Worst-Scored Spoof,trailing_silence_s,0.403125
Mid-Correct Bonafide,Worst-Scored Spoof,voiced_frames,0.209375
Mid-Correct Bonafide,Worst-Scored Spoof,unvoiced_frames,0.403125
Mid-Correct Bonafide,Worst-Scored Spoof,voiced_unvoiced_ratio,0.371875
Mid-Correct Bonafide,Worst-Scored Spoof,rms_first_100ms,0.403125
Mid-Correct Bonafide,Worst-Scored Spoof,rmse_mean,0.403125
Mid-Correct Bonafide,Worst-Scored Spoof,rmse_amplitude,0.35625
Mid-Correct Spoof,Mid-Wrong Bonafide,duration_s,0.4
Mid-Correct Spoof,Mid-Wrong Bonafide,speech_length_s,0.2
Mid-Correct Spoof,Mid-Wrong Bonafide,leading_silence_s,0.6
Mid-Correct Spoof,Mid-Wrong Bonafide,trailing_silence_s,0.6
Mid-Correct Spoof,Mid-Wrong Bonafide,voiced_frames,0.2
Mid-Correct Spoof,Mid-Wrong Bonafide,unvoiced_frames,0.2
